IDB,ODB,IWB,Q_tot,Q_sens,W,SHR
80,75,72,55.79,31.25,3.38,0.560136225
80,75,67,50.98,39.68,3.35,0.778344449
80,75,63,47.47,38.04,3.32,0.80134822
80,75,62,47.8,47.8,3.32,1
80,75,57,47.74,47.74,3.32,1
80,85,72,53.16,30.32,3.69,0.570353649
80,85,67,48.62,38.75,3.65,0.796997121
80,85,63,45.3,37.12,3.63,0.819426049
80,85,62,45.99,45.99,3.63,1
80,85,57,45.93,45.93,3.63,1
80,95,72,50.36,29.34,4.04,0.582605242
80,95,67,46.1,37.76,4.01,0.819088937
80,95,63,42.98,36.13,3.98,0.840623546
80,95,62,44,44,3.99,1
80,95,57,43.95,43.95,3.99,1
80,105,72,47.31,28.27,4.45,0.597548087
80,105,67,43.37,36.69,4.42,0.845976481
80,105,63,40.45,35.06,4.39,0.866749073
80,105,62,41.81,41.81,4.4,1
80,105,57,41.76,41.76,4.4,1
80,115,72,43.97,27.12,4.92,0.616784171
80,115,67,40.37,35.5,4.89,0.879365866
80,115,63,37.69,33.87,4.86,0.898646856
80,115,62,39.36,39.36,4.88,1
80,115,57,39.32,39.32,4.87,1
80,125,72,40.37,25.89,5.46,0.64131781
80,125,67,37.14,34.18,5.42,0.920301562
80,125,63,34.7,32.54,5.39,0.937752161
80,125,62,36.64,36.64,5.42,1
80,125,57,36.6,36.6,5.41,1
